RA (J2000) degree,DEC (J2000) degree,"Type (FRI=0,FRII=1,Compact=2,Bent=3)",Source,filepath_literature,coord_str
186.266,12.876,0,Gendre,FRI/186.266_12.876_0_Gendre.png,12 25 03.78 +12 52 35.20
186.265,12.887,3,Proctor_Tab1,Bent/186.265_12.887_3_Proctor_Tab1.png,12 25 03.7 +12 53 13
199.778,29.643,0,Gendre,FRI/199.778_29.643_0_Gendre.png,13 19 06.83 +29 38 33.80
199.767,29.643,1,Capetti2017b,FRII/199.767_29.643_1_Capetti2017b.png,13 19 04.16 +29 38 34.8
193.095,3.264,0,Gendre,FRI/193.095_3.264_0_Gendre.png,12 52 22.78 +03 15 50.40
193.094,3.265,1,Capetti2017b,FRII/193.094_3.265_1_Capetti2017b.png,12 52 22.61 +03 15 54.0
228.706,10.284,0,Gendre,FRI/228.706_10.284_0_Gendre.png,15 14 49.50 +10 17 00.90
228.699,10.279,3,Proctor_Tab1,Bent/228.699_10.279_3_Proctor_Tab1.png,15 14 47.8 +10 16 46
238.432,23.801,0,Gendre,FRI/238.432_23.801_0_Gendre.png,15 53 43.61 +23 48 04.70
238.432,23.812,3,Proctor_Tab1,Bent/238.432_23.812_3_Proctor_Tab1.png,15 53 43.7 +23 48 44
212.783,0.602,2,Gendre,Compact/212.783_0.602_2_Gendre.png,14 11 07.85 +00 36 07.80
212.793,-0.6,1,Gendre,FRII/212.793_-0.6_1_Gendre.png,14 11 10.28 −00 35 59.10
218.544,1.613,3,Gendre,Bent/218.544_1.613_3_Gendre.png,14 34 10.56 +01 36 46.90
218.538,1.617,0,MiraBest,FRI/218.538_1.617_0_MiraBest.png,100_218.538+001.617_0.1379_0119.77.png
218.705,-2.253,1,Gendre,FRII/218.705_-2.253_1_Gendre.png,14 34 49.27 −02 15 09.20
218.704,-2.249,3,Proctor_Tab1,Bent/218.704_-2.249_3_Proctor_Tab1.png,14 34 49.0 -02 14 58
219.704,0.683,3,Gendre,Bent/219.704_0.683_3_Gendre.png,14 38 48.87 +00 40 59.20
219.702,0.682,0,MiraBest,FRI/219.702_0.682_0_MiraBest.png,100_219.702+000.682_0.1503_0054.27.png
225.309,9.99,0,MiraBest,FRI/225.309_9.99_0_MiraBest.png,100_225.309+009.990_0.3384_0046.22.png
225.311,9.989,3,Proctor_Tab1,Bent/225.311_9.989_3_Proctor_Tab1.png,15 01 14.6 +09 59 19
120.907,10.845,0,MiraBest,FRI/120.907_10.845_0_MiraBest.png,100_120.907+010.845_0.1423_0082.92.png
120.905,10.854,3,Proctor_Tab1,Bent/120.905_10.854_3_Proctor_Tab1.png,08 03 37.3 +10 51 16
127.801,43.7,0,MiraBest,FRI/127.801_43.7_0_MiraBest.png,100_127.801+043.700_0.1114_0037.37.png
127.801,43.7,1,Capetti2017b,FRII/127.801_43.7_1_Capetti2017b.png,08 31 12.15 +43 41 58.4
208.859,35.429,0,MiraBest,FRI/208.859_35.429_0_MiraBest.png,100_208.859+035.429_0.1079_0042.15.png
208.859,35.429,1,Capetti2017b,FRII/208.859_35.429_1_Capetti2017b.png,13 55 26.20 +35 25 44.1
227.489,33.454,3,MiraBest,Bent/227.489_33.454_3_MiraBest.png,102_227.489+033.454_0.1172_0049.11.png
227.499,33.463,0,Capetti2017a,FRI/227.499_33.463_0_Capetti2017a.png,15 09 59.74 +33 27 46.1
227.499,33.463,3,MiraBest,Bent/227.499_33.463_3_MiraBest.png,104_227.499+033.463_0.1102_0029.03.png
227.499,33.463,0,Capetti2017a,FRI/227.499_33.463_0_Capetti2017a.png,15 09 59.74 +33 27 46.1
218.704,-2.25,1,MiraBest,FRII/218.704_-2.25_1_MiraBest.png,200_218.704-002.250_0.2906_0051.40.png
218.704,-2.249,3,Proctor_Tab1,Bent/218.704_-2.249_3_Proctor_Tab1.png,14 34 49.0 -02 14 58
18.607,0.492,1,MiraBest,FRII/18.607_0.492_1_MiraBest.png,200_018.607+000.492_0.3546_0043.51.png
18.606,0.492,3,Proctor_Tab1,Bent/18.606_0.492_3_Proctor_Tab1.png,01 14 25.5 +00 29 32
196.932,56.851,0,MiraBest,FRI/196.932_56.851_0_MiraBest.png,100_196.932+056.851_0.2500_0084.49.png
196.935,56.85,3,Proctor_Tab1,Bent/196.935_56.85_3_Proctor_Tab1.png,13 07 44.3 +56 51 01
147.761,10.37,0,MiraBest,FRI/147.761_10.37_0_MiraBest.png,100_147.761+010.370_0.2281_0052.19.png
147.76,10.37,3,Proctor_Tab1,Bent/147.76_10.37_3_Proctor_Tab1.png,09 51 02.5 +10 22 11
149.497,3.457,0,MiraBest,FRI/149.497_3.457_0_MiraBest.png,100_149.497+003.457_0.1653_0104.36.png
149.497,3.457,3,Proctor_Tab1,Bent/149.497_3.457_3_Proctor_Tab1.png,09 57 59.3 +03 27 25
158.761,42.93,0,MiraBest,FRI/158.761_42.93_0_MiraBest.png,100_158.761+042.930_0.1360_0084.05.png
158.761,42.93,3,Proctor_Tab1,Bent/158.761_42.93_3_Proctor_Tab1.png,10 35 02.6 +42 55 48
175.299,5.735,0,MiraBest,FRI/175.299_5.735_0_MiraBest.png,100_175.299+005.735_0.0974_0063.84.png
175.297,5.733,3,Proctor_Tab1,Bent/175.297_5.733_3_Proctor_Tab1.png,11 41 11.2 +05 43 59
177.45,43.904,0,MiraBest,FRI/177.45_43.904_0_MiraBest.png,100_177.450+043.904_0.0709_0076.86.png
177.45,43.904,1,Capetti2017b,FRII/177.45_43.904_1_Capetti2017b.png,11 49 48.11 +43 54 12.6
222.506,14.797,0,MiraBest,FRI/222.506_14.797_0_MiraBest.png,100_222.506+014.797_0.2995_0048.19.png
222.507,14.797,3,Proctor_Tab1,Bent/222.507_14.797_3_Proctor_Tab1.png,14 50 01.6 +14 47 48
205.395,53.745,1,MiraBest,FRII/205.395_53.745_1_MiraBest.png,200_205.395+053.745_0.1409_0079.28.png
